APMC,Commodity,arrivals_in_qtl,min_price,max_price,modal_price,date
Ahmednagar,Bajri,79,1406,1538,1463,2015-04
Ahmednagar,Bajri,106,1788,1925,1875,2016-04
Ahmednagar,Wheat(Husked),1253,1572,1890,1731,2015-04
Ahmednagar,Wheat(Husked),387,1750,2220,1999,2016-04
Ahmednagar,Sorgum(Jawar),3825,1600,2200,1900,2015-04
Ahmednagar,Sorgum(Jawar),2093,1695,2454,2119,2016-04
Ahmednagar,Maize,75,1345,1401,1373,2015-04
Ahmednagar,Maize,155,1367,1392,1375,2016-04
Ahmednagar,Gram,1794,3533,3762,3647,2015-04
Ahmednagar,Gram,630,4790,5553,5216,2016-04
Ahmednagar,Horse Gram,3,7150,7150,7150,2015-04
Ahmednagar,Matki,1,7500,7500,7500,2015-04
Ahmednagar,Pigeon Pea (Tur),144,4993,5373,5233,2015-04
Ahmednagar,Pigeon Pea (Tur),33,6900,7700,7329,2016-04
Ahmednagar,Black Gram,7,5700,5700,5700,2015-04
Ahmednagar,Black Gram,2,7500,7500,7500,2016-04
Ahmednagar,Castor Seed,3,3313,3313,3313,2015-04
Ahmednagar,Soybean,12,2900,3400,3150,2015-04
Ahmednagar,Soybean,20,2200,3900,3603,2016-04
Ahmednagar,Jaggery,2611,2950,3550,3263,2016-04
Ahmednagar,Lemon,106,2750,6625,5500,2016-04
Ahmednagar,Ginger (Fresh),46,1667,3000,2500,2016-04
Ahmednagar,Potato,510,767,1367,1133,2016-04
Ahmednagar,Ladies Finger,58,1067,4000,3000,2016-04
Ahmednagar,Flower,180,625,3375,2138,2016-04
Ahmednagar,Carrot,57,900,1400,1250,2016-04
Ahmednagar,Cluster Bean,46,4250,6875,5750,2016-04
Ahmednagar,Ghevda,3,4500,6000,5250,2016-04
Ahmednagar,Ghosali(Bhaji),5,1333,3667,2833,2016-04
Ahmednagar,Mango(Raw),23,1000,2000,1500,2016-04
Ahmednagar,Cucumber,202,500,2050,1500,2016-04
Ahmednagar,Onion,186700,114,1459,797,2015-04
Ahmednagar,Onion,42342,100,938,538,2016-04
Ahmednagar,Bitter Gourd,8,5000,6333,5667,2016-04
Ahmednagar,Cabbage,195,275,900,675,2016-04
Ahmednagar,Garlic,14,4500,6000,5250,2016-04
Ahmednagar,Math (Bhaji),12,5,13,10,2016-04
Ahmednagar,Capsicum,68,1333,3167,2500,2016-04
Ahmednagar,Tomato,334,350,875,700,2016-04
Ahmednagar,Brinjal,120,625,2625,2000,2016-04
Ahmednagar,Tamarind Seed,8,1480,1480,1480,2015-04
Ahmednagar,Tamarind Seed,215,1804,1804,1804,2016-04
Ahmednagar,Coriander (Dry),151,7000,12000,9500,2015-04
Ahmednagar,Coriander (Dry),269,6900,9600,8250,2016-04
Ahmednagar,Green Chilli,138,3333,7000,5333,2016-04
Ahmednagar,Chillies(Red),792,5284,8952,7118,2015-04
Ahmednagar,Chillies(Red),1900,7925,12313,10185,2016-04
Ahmednagar,Mustard,22,3617,3617,3617,2015-04
Ahmednagar,Mustard,2,3800,3800,3800,2016-04
Akole,Bajri,52,1357,1800,1525,2015-04
Akole,Bajri,75,1460,1960,1685,2016-04
Akole,Paddy-Unhusked,113,1450,1925,1625,2015-04
Akole,Paddy-Unhusked,448,1500,2017,1704,2016-04
Akole,Wheat(Husked),164,1450,1975,1644,2015-04
Akole,Wheat(Husked),115,1517,2150,1725,2016-04
Akole,Gram,39,3200,3500,3350,2015-04
Akole,Gram,70,3767,4833,4383,2016-04
Akole,Soybean,285,3000,3450,3250,2015-04
Akole,Soybean,378,3400,3883,3683,2016-04
Akole,Onion,105645,106,1389,849,2015-04
Akole,Onion,56372,150,973,662,2016-04
Akole,Hilda,34,5000,7000,6000,2016-04
Jamkhed,Bajri,164,1304,1446,1375,2015-04
Jamkhed,Bajri,45,1513,1742,1627,2016-04
